Time,Total
25.984,2183339
26.015,2052267
26.031,1571670
26.062,1921195
26.094,2030421
26.109,1943041
26.14,1964886
26.172,1659051
26.187,1921195
26.219,1921195
26.234,2095958
26.265,1921195
26.281,1855659
26.312,1855659
26.344,2030422
26.359,1855659
26.39,2008576
26.422,2205184
26.437,2161494
26.469,1833814
26.484,1877505
26.515,1899350
26.531,2052267
26.578,1746433
26.594,1811968
26.625,1680896
26.656,1943041
26.687,1680896
26.703,1877504
26.734,1768278
26.765,1768278
26.781,1484288
26.812,1462443
26.844,1746433
26.859,2074112
26.89,2030422
26.922,2030422
26.937,2139648
26.969,1790123
26.984,1921195
27.015,2139649
27.031,2052267
27.062,1943040
27.094,1899349
27.109,1396907
27.14,1659051
27.172,2248875
27.187,1986731
27.219,1680896
27.234,1811968
27.265,1899350
27.281,1943040
27.312,1593515
27.344,2205185
27.359,1833814
27.39,1593515
27.422,2008576
27.437,2095958
27.469,1964886
27.484,1680896
27.515,1724587
27.531,1811969
27.578,2030422
27.594,1986731
27.625,1811969
27.656,1702742
27.687,1746433
27.703,1746432
27.734,1790123
27.765,1680896
27.781,1833814
27.797,1943040
27.828,1768278
27.859,1768278
27.875,1921195
27.906,2270721
27.937,2095958
27.953,2183339
27.984,2161493
28.015,1549824
28.031,2139648
28.062,1855659
28.078,2074112
28.109,1899349
28.125,1571670
28.156,1855659
28.187,1768278
28.203,1680896
28.234,1527979
28.265,1506134
28.281,1702742
28.312,2117803
28.328,1943040
28.359,1331371
28.375,1877505
28.406,1986731
28.437,2401792
28.453,1680897
28.484,1833814
28.515,1855659
28.531,1484288
28.562,1593515
28.594,1615361
28.625,2074113
28.656,1921195
28.672,1943040
28.703,2052267
28.719,1768278
28.75,1790123
28.765,2292566
28.797,1921195
28.828,2052267
28.844,2030422
28.875,1811969
28.906,1811968
28.922,2205185
28.969,2095958
29.0,2008577
29.015,1790123
29.062,1724587
29.094,1615361
29.109,2052267
29.14,1659051
29.172,1571670
29.187,1637205
29.219,1506133
29.234,1680897
29.265,1724587
29.281,2161494
29.312,1790123
29.344,1877504
29.359,1833814
29.39,1680896
29.406,1811968
29.437,2095958
29.453,1659051
29.469,1615360
29.5,1484288
29.515,1702741
29.547,1790123
29.578,1659051
29.609,2008577
29.625,1549824
29.656,2052267
29.687,1811968
29.703,1309525
29.734,1549824
29.75,1790123
29.781,1506134
29.797,1899350
29.812,1855659
29.844,1680897
29.859,2008577
29.875,1418752
29.906,1615361
29.922,1724587
29.953,1680896
29.969,1986731
30.0,1877505
30.015,1637205
30.047,1659051
30.062,1768277
30.078,1549824
30.109,1462443
30.125,1855659
30.14,1702741
30.172,1724587
30.203,1243990
30.219,2030421
30.234,1200299
30.265,1353216
30.281,1659051
30.312,1418753
30.328,1287681
30.344,1615360
30.375,1855659
30.39,1746432
30.422,1178454
30.437,1593515
30.469,1855659
30.484,1353217
30.515,1680897
30.531,1680897
30.547,1811969
30.594,1746433
30.609,1571669
30.625,1659051
30.64,1484288
30.672,1462443
30.687,1549825
30.703,1462443
30.734,1593515
30.75,1331371
30.781,1593515
30.797,1702742
30.812,1637205
30.844,1418752
30.859,1833814
30.875,1593515
30.906,1549824
30.922,1790123
30.953,1724587
30.969,1593515
31.0,1462443
31.015,1659051
31.047,1571670
31.062,1768278
31.078,1418753
31.109,1549824
31.125,1724587
31.14,1964886
31.172,1549825
31.203,1571670
31.219,1527979
31.234,1222145
31.265,1549824
31.281,2030422
31.312,1899350
31.328,1702742
31.344,1724587
31.375,1593515
31.39,1768278
31.422,1396907
31.437,1615361
31.469,1877504
31.484,1571669
31.515,1462443
31.531,1877504
31.547,1418752
31.594,1680896
31.609,1527979
31.625,1375062
31.656,1571670
31.672,1353216
31.687,1440598
31.719,1593515
31.734,1790123
31.765,1287680
31.781,1440597
31.812,1484289
31.828,1375061
31.859,1396907
31.875,1571670
31.906,1287681
31.922,1375062
31.937,1527979
31.969,1440598
31.984,1484289
32.0,1768278
32.031,1593515
32.062,1375062
32.078,1243990
32.094,1790123
32.125,1265835
32.14,1484289
32.172,1222144
32.187,1659051
32.203,1702742
32.234,1549824
32.25,1768278
32.281,1724587
32.297,1527979
32.328,1571670
32.344,1440598
32.359,1222144
32.39,1025536
32.422,1222144
32.453,1637206
32.469,1702742
32.5,1571670
32.515,1746432
32.547,1506134
32.562,1353216
32.609,1527979
32.656,1768278
32.672,1353217
32.687,1418752
32.734,1484288
32.75,1549824
32.781,1506133
32.812,1593515
32.844,1243990
32.859,1659051
32.89,1637206
32.906,1222144
32.937,1484288
32.953,1659051
32.984,1265835
33.0,1265835
33.031,1790123
33.062,1659051
33.094,1527979
33.109,1396907
33.14,1637206
33.156,1768278
33.187,1571670
33.203,1112918
33.234,1331371
33.25,1484288
33.281,1440598
33.312,1440598
33.344,1440598
33.359,1156608
33.39,1637206
33.406,1440598
33.437,1462443
33.453,1418753
33.484,1091073
33.5,1855659
33.531,1615361
33.562,1790123
33.594,1724587
33.64,1353216
33.656,1462443
33.672,1375062
33.703,1178454
33.734,1527979
33.75,1353217
33.781,1506134
33.812,1331371
33.844,1243990
33.859,1811969
33.89,1331371
33.922,1331371
33.953,1615360
33.969,1702742
34.0,1440598
34.015,1222144
34.047,1440598
34.062,1440597
34.094,1462443
34.125,1418752
34.14,1680896
34.172,1549824
34.187,1287680
34.219,1680896
34.234,1593515
34.265,1418753
34.297,1484288
34.328,1506134
34.344,1527979
34.375,1527979
34.39,1506134
34.422,1287680
34.437,1178453
34.469,1243990
34.484,1659051
34.515,1724587
34.547,1702742
34.578,1396907
34.594,1571670
34.625,1331371
34.64,1222145
34.656,1462443
34.672,1200299
34.687,1418753
34.734,1375061
34.75,1353216
34.781,1549825
34.797,1418752
34.828,1440598
34.844,1440598
34.875,1549824
34.89,1418753
34.922,1287680
34.953,1222144
34.984,1462443
35.0,1309525
35.031,1768277
35.047,1637206
35.078,1440598
35.094,1331371
35.125,1440598
35.14,1243990
35.172,1265835
35.203,1309526
35.234,1593515
35.25,1396907
35.281,1156609
35.297,1222145
35.328,1309526
35.344,1724587
35.375,1593515
35.39,1615360
35.422,1331371
35.453,1396907
35.484,1309526
35.5,1418752
35.531,1309526
35.547,1396907
35.578,1637206
35.609,1243990
35.625,1724587
35.656,1178453
35.672,1309525
35.687,1222144
35.703,1156608
35.719,1462443
35.75,1353216
35.765,1353217
35.812,1309526
35.828,1156608
35.859,1353216
35.875,1396907
35.906,1287681
35.922,1440597
35.953,1659051
35.969,1353216
36.0,1243990
36.015,1091073
36.047,1615360
36.078,1877504
36.094,1353216
36.14,1287680
36.156,1506134
36.172,1571669
36.219,1659051
36.234,1243989
36.25,1375062
36.281,1200299
36.312,1527979
36.328,1222145
36.359,1222144
36.375,1418752
36.406,1156608
36.437,1484288
36.453,1265835
36.469,1112918
36.515,1637206
36.531,1637206
36.547,1156608
36.594,1659051
36.625,1353216
36.656,1353217
36.672,1353217
36.687,1331371
